Horodatage; IDC 12102954 | Consommation | EA, Courbe Origine, Pertes incluses
06/01/2022 02:40:00;98,000
06/01/2022 02:50:00;102,000
06/01/2022 03:00:00;103,000
06/01/2022 03:10:00;102,000
06/01/2022 03:20:00;102,000
06/01/2022 03:30:00;99,000
06/01/2022 03:40:00;98,000
06/01/2022 03:50:00;99,000
06/01/2022 04:00:00;97,000
06/01/2022 04:10:00;98,000
06/01/2022 04:20:00;100,000
06/01/2022 04:30:00;99,000
06/01/2022 04:40:00;100,000
06/01/2022 04:50:00;101,000
06/01/2022 05:00:00;111,000
06/01/2022 05:10:00;120,000
06/01/2022 05:20:00;119,000
06/01/2022 05:30:00;140,000
06/01/2022 05:40:00;171,000
06/01/2022 05:50:00;206,000
06/01/2022 06:00:00;214,000
06/01/2022 06:10:00;244,000
06/01/2022 06:20:00;219,000
06/01/2022 06:30:00;231,000
06/01/2022 06:40:00;226,000
06/01/2022 06:50:00;246,000
06/01/2022 07:00:00;281,000
06/01/2022 07:10:00;276,000
06/01/2022 07:20:00;313,000
06/01/2022 07:30:00;332,000
06/01/2022 07:40:00;315,000
06/01/2022 07:50:00;330,000
06/01/2022 08:00:00;369,000
06/01/2022 08:10:00;360,000
06/01/2022 08:20:00;352,000
06/01/2022 08:30:00;379,000
06/01/2022 08:40:00;394,000
06/01/2022 08:50:00;424,000
06/01/2022 09:00:00;414,000
06/01/2022 09:10:00;417,000
06/01/2022 09:20:00;379,000
06/01/2022 09:30:00;393,000
06/01/2022 09:40:00;411,000
06/01/2022 09:50:00;397,000
06/01/2022 10:00:00;361,000
06/01/2022 10:10:00;415,000
06/01/2022 10:20:00;441,000
06/01/2022 10:30:00;436,000
06/01/2022 10:40:00;370,000
06/01/2022 10:50:00;366,000
06/01/2022 11:00:00;360,000
06/01/2022 11:10:00;371,000
06/01/2022 11:20:00;361,000
06/01/2022 11:30:00;314,000
06/01/2022 11:40:00;343,000
06/01/2022 11:50:00;375,000
06/01/2022 12:00:00;353,000
06/01/2022 12:10:00;316,000
06/01/2022 12:20:00;313,000
06/01/2022 12:30:00;315,000
06/01/2022 12:40:00;295,000
06/01/2022 12:50:00;286,000
06/01/2022 13:00:00;289,000
06/01/2022 13:10:00;292,000
06/01/2022 13:20:00;304,000
06/01/2022 13:30:00;295,000
06/01/2022 13:40:00;282,000
06/01/2022 13:50:00;257,000
06/01/2022 14:00:00;277,000
06/01/2022 14:10:00;280,000
06/01/2022 14:20:00;293,000
